Date;Close;Volume;Dividends
2024-08-29 00:00:00-0300;4.427440643310547;202750;0.0
2024-08-30 00:00:00-0300;4.427440643310547;415640;0.0
2024-09-02 00:00:00-0300;4.841416835784912;324110;0.63
2024-09-03 00:00:00-0300;4.841416835784912;706660;0.0
2024-09-04 00:00:00-0300;4.841416835784912;1140100;0.0
2024-09-05 00:00:00-0300;4.844925403594971;104390;0.0
2024-09-06 00:00:00-0300;4.844925403594971;174530;0.0
2024-09-09 00:00:00-0300;4.840714454650879;140870;0.0
2024-09-10 00:00:00-0300;4.857554912567139;179760;0.0
2024-09-11 00:00:00-0300;4.841416835784912;97900;0.0
2024-09-12 00:00:00-0300;4.8245768547058105;188430;0.0
2024-09-13 00:00:00-0300;4.825980186462402;149550;0.0
2024-09-16 00:00:00-0300;4.785284042358398;239980;0.0
2024-09-17 00:00:00-0300;4.764235019683838;184540;0.0
2024-09-18 00:00:00-0300;4.788792133331299;445700;0.0
2024-09-19 00:00:00-0300;4.785284042358398;188110;0.0
2024-09-20 00:00:00-0300;4.784582614898682;193640;0.0
2024-09-23 00:00:00-0300;4.771251201629639;174680;0.0
2024-09-24 00:00:00-0300;4.748096942901611;251750;0.0
2024-09-25 00:00:00-0300;4.7537102699279785;105520;0.0
2024-09-26 00:00:00-0300;4.743185043334961;140190;0.0
2024-09-27 00:00:00-0300;4.750201225280762;185920;0.0
2024-09-30 00:00:00-0300;4.757218360900879;174200;0.0
2024-10-01 00:00:00-0300;5.115933418273926;216850;0.6
2024-10-02 00:00:00-0300;5.0566606521606445;247210;0.0
2024-10-03 00:00:00-0300;5.0043158531188965;242660;0.0
2024-10-04 00:00:00-0300;5.000467300415039;159690;0.0
2024-10-07 00:00:00-0300;4.972755432128906;196690;0.0
2024-10-08 00:00:00-0300;4.957359790802002;264210;0.0
2024-10-09 00:00:00-0300;4.84959077835083;647940;0.0
2024-10-10 00:00:00-0300;4.84959077835083;362290;0.0
2024-10-11 00:00:00-0300;4.842662811279297;159150;0.0
2024-10-14 00:00:00-0300;4.857287883758545;375020;0.0
2024-10-15 00:00:00-0300;4.857287883758545;408700;0.0
2024-10-16 00:00:00-0300;4.84959077835083;256530;0.0
2024-10-17 00:00:00-0300;4.84959077835083;208690;0.0
2024-10-18 00:00:00-0300;4.845742225646973;493290;0.0
2024-10-21 00:00:00-0300;4.84959077835083;247110;0.0
2024-10-22 00:00:00-0300;4.864986896514893;234100;0.0
2024-10-23 00:00:00-0300;4.820339202880859;222880;0.0
2024-10-24 00:00:00-0300;4.81033182144165;158150;0.0
2024-10-25 00:00:00-0300;4.811101913452148;187320;0.0
2024-10-28 00:00:00-0300;4.949661731719971;432340;0.0
2024-10-29 00:00:00-0300;4.95274019241333;440030;0.0
2024-10-30 00:00:00-0300;4.954280853271484;340280;0.0
2024-10-31 00:00:00-0300;5.002007007598877;202840;0.0
2024-11-01 00:00:00-0300;5.323189735412598;372560;0.58
2024-11-04 00:00:00-0300;5.293606758117676;335490;0.0
2024-11-05 00:00:00-0300;5.253037452697754;251440;0.0
2024-11-06 00:00:00-0300;5.2978339195251465;338470;0.0
2024-11-07 00:00:00-0300;5.2978339195251465;286060;0.0
2024-11-08 00:00:00-0300;5.279238224029541;311010;0.0
2024-11-11 00:00:00-0300;5.257262706756592;484050;0.0
2024-11-12 00:00:00-0300;5.231906890869141;363070;0.0
2024-11-13 00:00:00-0300;5.169360637664795;250280;0.0
2024-11-14 00:00:00-0300;5.181193828582764;344790;0.0
2024-11-18 00:00:00-0300;5.072160720825195;438010;0.0
2024-11-19 00:00:00-0300;5.079766750335693;424090;0.0
2024-11-21 00:00:00-0300;5.069624423980713;304800;0.0
2024-11-22 00:00:00-0300;5.071314811706543;424510;0.0
2024-11-25 00:00:00-0300;4.995244979858398;820130;0.0
2024-11-26 00:00:00-0300;4.995244979858398;377090;0.0
2024-11-27 00:00:00-0300;4.9783406257629395;604380;0.0
2024-11-28 00:00:00-0300;4.957209587097168;576510;0.0
2024-11-29 00:00:00-0300;4.944531440734863;1044760;0.0
2024-12-02 00:00:00-0300;4.900155544281006;427870;0.056
2024-12-03 00:00:00-0300;4.840417861938477;474240;0.0
2024-12-04 00:00:00-0300;4.736304759979248;471690;0.0
2024-12-05 00:00:00-0300;4.702169895172119;1593380;0.0
2024-12-06 00:00:00-0300;4.676568031311035;709800;0.0
2024-12-09 00:00:00-0300;4.676568031311035;596490;0.0
2024-12-10 00:00:00-0300;4.668033599853516;369000;0.0
2024-12-11 00:00:00-0300;4.608296871185303;395580;0.0
2024-12-12 00:00:00-0300;4.582695007324219;491070;0.0
2024-12-13 00:00:00-0300;4.608296871185303;508160;0.0
2024-12-16 00:00:00-0300;4.63816499710083;411760;0.0
2024-12-17 00:00:00-0300;4.582695007324219;518050;0.0
2024-12-18 00:00:00-0300;4.52978515625;647120;0.0
2024-12-19 00:00:00-0300;4.60573673248291;403240;0.0
2024-12-20 00:00:00-0300;4.650966167449951;515970;0.0
2024-12-23 00:00:00-0300;4.672300815582275;662900;0.0
2024-12-26 00:00:00-0300;4.7789740562438965;502940;0.0
2024-12-27 00:00:00-0300;4.9155168533325195;229600;0.0
2024-12-30 00:00:00-0300;4.931730270385742;280850;0.0
2025-01-02 00:00:00-0300;4.9119110107421875;161020;0.056
2025-01-03 00:00:00-0300;4.918805122375488;285310;0.0
2025-01-06 00:00:00-0300;4.883473873138428;168930;0.0
2025-01-07 00:00:00-0300;4.9119110107421875;120290;0.0
2025-01-08 00:00:00-0300;4.80419397354126;189330;0.0
2025-01-09 00:00:00-0300;4.812811374664307;296490;0.0
2025-01-10 00:00:00-0300;4.778341770172119;383870;0.0
2025-01-13 00:00:00-0300;4.721466541290283;224610;0.0
2025-01-14 00:00:00-0300;4.7223286628723145;432210;0.0
2025-01-15 00:00:00-0300;4.713710784912109;891580;0.0
2025-01-16 00:00:00-0300;4.636154651641846;1185300;0.0
2025-01-17 00:00:00-0300;4.610302448272705;560460;0.0
2025-01-20 00:00:00-0300;4.60944128036499;270340;0.0
2025-01-21 00:00:00-0300;4.566353797912598;322660;0.0
2025-01-22 00:00:00-0300;4.532745838165283;361820;0.0
2025-01-23 00:00:00-0300;4.514648914337158;165790;0.0
2025-01-24 00:00:00-0300;4.54136323928833;464930;0.0
2025-01-27 00:00:00-0300;4.567215919494629;493570;0.0
2025-01-28 00:00:00-0300;4.548257350921631;356470;0.0
2025-01-29 00:00:00-0300;4.549981117248535;391220;0.0
2025-01-30 00:00:00-0300;4.555151462554932;402780;0.0
2025-01-31 00:00:00-0300;4.652527809143066;578490;0.0
2025-02-03 00:00:00-0300;4.993847846984863;1072980;0.56
2025-02-04 00:00:00-0300;4.980387210845947;910010;0.0
2025-02-05 00:00:00-0300;4.998654842376709;539920;0.0
2025-02-06 00:00:00-0300;4.97365665435791;297970;0.0
2025-02-07 00:00:00-0300;4.994809150695801;273020;0.0
2025-02-10 00:00:00-0300;4.911162376403809;602950;0.0
2025-02-11 00:00:00-0300;4.9236602783203125;630000;0.0
2025-02-12 00:00:00-0300;4.941928386688232;288020;0.0
2025-02-13 00:00:00-0300;4.999616622924805;163930;0.0
2025-02-14 00:00:00-0300;5.019807815551758;258790;0.0
2025-02-17 00:00:00-0300;5.114030361175537;284500;0.0
2025-02-18 00:00:00-0300;5.1428751945495605;252240;0.0
2025-02-19 00:00:00-0300;5.086148262023926;423480;0.0
2025-02-20 00:00:00-0300;5.095763206481934;490330;0.0
2025-02-21 00:00:00-0300;5.14383602142334;300190;0.0
2025-02-24 00:00:00-0300;5.1428751945495605;463860;0.0
2025-02-25 00:00:00-0300;5.104416370391846;714630;0.0
2025-02-26 00:00:00-0300;5.095763206481934;445710;0.0
2025-02-27 00:00:00-0300;5.107300281524658;565470;0.0
2025-02-28 00:00:00-0300;5.153450965881348;378480;0.0
2025-03-05 00:00:00-0300;5.18842887878418;196500;0.056
2025-03-06 00:00:00-0300;5.194258689880371;373100;0.0
2025-03-07 00:00:00-0300;5.274902820587158;487760;0.0
2025-03-10 00:00:00-0300;5.243810653686523;559860;0.0
2025-03-11 00:00:00-0300;5.294334888458252;432760;0.0
2025-03-12 00:00:00-0300;5.305023193359375;479000;0.0
2025-03-13 00:00:00-0300;5.300164222717285;530430;0.0
2025-03-14 00:00:00-0300;5.333199501037598;181100;0.0
2025-03-17 00:00:00-0300;5.3438873291015625;266350;0.0
2025-03-18 00:00:00-0300;5.334171295166016;915350;0.0
2025-03-19 00:00:00-0300;5.339029312133789;487480;0.0
2025-03-20 00:00:00-0300;5.380809307098389;314390;0.0
2025-03-21 00:00:00-0300;5.325427055358887;733100;0.0
2025-03-24 00:00:00-0300;5.327369689941406;686990;0.0
2025-03-25 00:00:00-0300;5.305023193359375;703330;0.0
2025-03-26 00:00:00-0300;5.3069658279418945;291450;0.0
2025-03-27 00:00:00-0300;5.298221588134766;781370;0.0
2025-03-28 00:00:00-0300;5.323483943939209;560850;0.0
2025-03-31 00:00:00-0300;5.347774028778076;545970;0.0
2025-04-01 00:00:00-0300;5.358572006225586;254540;0.056
2025-04-02 00:00:00-0300;5.344829082489014;497710;0.0
2025-04-03 00:00:00-0300;5.349737167358398;235040;0.0
2025-04-04 00:00:00-0300;5.330104827880859;254900;0.0
2025-04-07 00:00:00-0300;5.307528018951416;402500;0.0
2025-04-08 00:00:00-0300;5.368387699127197;252290;0.0
2025-04-09 00:00:00-0300;5.368387699127197;155730;0.0
2025-04-10 00:00:00-0300;5.378203868865967;110460;0.0
2025-04-11 00:00:00-0300;5.354644775390625;148880;0.0
2025-04-14 00:00:00-0300;5.39881706237793;224910;0.0
2025-04-15 00:00:00-0300;5.439062595367432;215540;0.0
2025-04-16 00:00:00-0300;5.431210041046143;183030;0.0
2025-04-17 00:00:00-0300;5.439062595367432;189850;0.0
2025-04-22 00:00:00-0300;5.5175909996032715;191730;0.0
2025-04-23 00:00:00-0300;5.552928924560547;177750;0.0
2025-04-24 00:00:00-0300;5.552928924560547;233320;0.0
2025-04-25 00:00:00-0300;5.634401798248291;171080;0.0
2025-04-28 00:00:00-0300;5.781641960144043;312250;0.0
2025-04-29 00:00:00-0300;5.811090469360352;303390;0.0
2025-04-30 00:00:00-0300;5.9190673828125;330000;0.0
2025-05-02 00:00:00-0300;5.944827556610107;178780;0.056
2025-05-05 00:00:00-0300;5.845747470855713;249990;0.0
2025-05-06 00:00:00-0300;5.845747470855713;140220;0.0
2025-05-07 00:00:00-0300;5.894296646118164;160930;0.0
2025-05-08 00:00:00-0300;5.895287036895752;186180;0.0
2025-05-09 00:00:00-0300;5.9438371658325195;191900;0.0
2025-05-12 00:00:00-0300;5.905195713043213;205549;0.0
2025-05-13 00:00:00-0300;5.98445987701416;263790;0.0
2025-05-14 00:00:00-0300;5.92501163482666;338007;0.0
2025-05-15 00:00:00-0300;5.944827556610107;229181;0.0
2025-05-16 00:00:00-0300;5.895287036895752;217200;0.0
2025-05-19 00:00:00-0300;5.885379314422607;415175;0.0
2025-05-20 00:00:00-0300;5.855655193328857;297055;0.0
2025-05-21 00:00:00-0300;5.83583927154541;207423;0.0
2025-05-22 00:00:00-0300;5.845747470855713;169834;0.0
2025-05-23 00:00:00-0300;5.875471115112305;194433;0.0
2025-05-26 00:00:00-0300;5.905195713043213;214113;0.0
2025-05-27 00:00:00-0300;5.915103435516357;172210;0.0
2025-05-28 00:00:00-0300;5.98445987701416;216111;0.0
2025-05-29 00:00:00-0300;6.01418399810791;197608;0.0
2025-05-30 00:00:00-0300;6.034000396728516;244008;0.0
2025-06-02 00:00:00-0300;5.929999828338623;307070;0.056
2025-06-03 00:00:00-0300;5.960000038146973;172682;0.0
2025-06-04 00:00:00-0300;6.0;189529;0.0
2025-06-05 00:00:00-0300;6.059999942779541;841156;0.0
